tracking_number,payment_type,pickup_datetime_ist,delivery_datetime_ist,days_taken,shipment_weight_kg,pickup_pincode,pickup_city,pickup_state,drop_pincode,drop_city,drop_state,out_for_delivery_datetimes,delivery_attempts
391128713604,COD,2020-03-16 15:44:00+05:30,2020-03-21 10:50:00+05:30,4,14.0,560048,Bangalore,KA,110007,New Delhi,DL,2020-03-21 09:39:00 IST;2020-03-20 10:03:00 IST,3
390767773927,PREPAID,2020-03-02 16:23:00+05:30,2020-03-04 13:00:00+05:30,1,14.0,560048,Bangalore,KA,400025,Mumbai,MH,2020-03-04 10:50:00 IST,2
390987545399,COD,2020-03-10 15:59:00+05:30,2020-03-12 14:55:00+05:30,1,14.0,560048,Bangalore,KA,500039,Hyderabad,TS,2020-03-12 15:27:00 IST,2
390871765957,COD,2020-03-05 19:20:00+05:30,2020-03-07 18:00:00+05:30,1,14.0,560048,Bangalore,KA,500075,Hyderabad,TS,2020-03-07 13:16:00 IST,2
391049864544,PREPAID,2020-03-12 16:17:00+05:30,2020-03-17 18:07:00+05:30,5,14.0,560048,Bangalore,KA,440011,Nagpur,MH,2020-03-17 12:20:00 IST;2020-03-16 17:51:00 IST,3
390767863940,PREPAID,2020-03-02 16:23:00+05:30,2020-03-07 18:30:00+05:30,5,14.0,560048,Bangalore,KA,122018,Gurgaon,HR,2020-03-07 11:40:00 IST;2020-03-06 12:22:00 IST,3
390948901463,PREPAID,2020-03-09 15:12:00+05:30,2020-03-10 18:48:00+05:30,1,14.0,560048,Bangalore,KA,560047,Bengaluru,KA,2020-03-10 09:30:00 IST,2
390950797924,PREPAID,2020-03-09 15:12:00+05:30,2020-03-10 15:30:00+05:30,1,14.0,560048,Bangalore,KA,560038,Bangalore,KA,2020-03-10 09:45:00 IST,2
390767768950,COD,2020-03-02 16:23:00+05:30,2020-03-05 17:30:00+05:30,3,14.0,560048,Bangalore,KA,491441,Rajnandgaon,CT,,1
390839698450,PREPAID,2020-03-05 19:20:00+05:30,2020-03-11 17:09:00+05:30,5,14.0,560048,Bangalore,KA,700017,Kolkata,WB,2020-03-11 14:29:00 IST,2
391080351396,COD,2020-03-13 17:14:00+05:30,2020-03-17 13:21:00+05:30,3,14.0,560048,Bangalore,KA,110048,New Delhi,DL,2020-03-17 10:13:00 IST,2
390948893060,PREPAID,2020-03-09 15:12:00+05:30,2020-03-10 13:33:00+05:30,0,14.0,560048,Bangalore,KA,560001,Bengaluru,KA,2020-03-10 09:40:00 IST,2
390948915036,COD,2020-03-09 15:12:00+05:30,2020-03-12 11:51:00+05:30,2,14.0,560048,Bangalore,KA,452001,Indore,MP,2020-03-12 10:46:00 IST,2
390901942719,COD,2020-03-06 16:07:00+05:30,2020-03-11 18:00:00+05:30,5,14.0,560048,Bangalore,KA,500081,Hyderabad,TS,,1
391080316258,COD,2020-03-13 17:14:00+05:30,2020-03-16 15:09:00+05:30,2,14.0,560048,Bangalore,KA,400001,Mumbai,MH,,1
280902855329,PREPAID,2021-06-29 19:07:00+05:30,2021-07-05 15:57:00+05:30,5,2.0,560048,Bangalore,KA,110029,Delhi,DL,2021-07-05 11:26:00 IST;2021-07-03 15:01:00 IST,3
390932015238,COD,2020-03-07 16:27:00+05:30,2020-03-10 18:00:00+05:30,3,14.0,560048,Bangalore,KA,500033,Hyderabad,TS,2020-03-10 12:38:00 IST,2
390808005402,PREPAID,2020-03-03 16:19:00+05:30,2020-03-06 18:15:00+05:30,3,14.0,560048,Bangalore,KA,500049,Hyderabad,TS,,1
390948897537,COD,2020-03-09 15:12:00+05:30,2020-03-14 12:49:00+05:30,4,14.0,560048,Bangalore,KA,411001,Pune,MH,2020-03-14 11:31:00 IST,2
391049835905,PREPAID,2020-03-12 16:17:00+05:30,2020-03-17 13:00:00+05:30,4,14.0,560048,Bangalore,KA,380015,Ahmedabad,GJ,2020-03-16 12:52:00 IST,2
390871789380,PREPAID,2020-03-05 19:20:00+05:30,2020-03-09 12:10:00+05:30,3,14.0,560048,Bangalore,KA,400054,Mumbai,MH,2020-03-09 12:10:00 IST;2020-03-09 09:38:00 IST,3
390931995152,COD,2020-03-07 16:27:00+05:30,2020-03-13 13:54:00+05:30,5,14.0,560048,Bangalore,KA,313001,Udaipur,RJ,2020-03-13 13:07:00 IST,2
391080697205,COD,2020-03-13 17:14:00+05:30,2020-03-16 16:25:00+05:30,2,14.0,560048,Bangalore,KA,411029,Pune,MH,,1
391128770200,PREPAID,2020-03-16 15:44:00+05:30,2020-03-20 16:55:00+05:30,4,14.0,560048,Bangalore,KA,122002,Gurgaon,HR,2020-03-20 10:21:00 IST,2
